11/09/2000 Kansas                  99 UCLA                    98 N New York, NY
11/25/2000 Loyola (MD)             76 American                82
11/25/2000 Hardin-Simmons          52 Baylor                  93
11/25/2000 Sacred Heart            58 Hartford                69
11/25/2000 Canisius                82 Wisconsin Milwaukee     80 N Miami, FL
11/25/2000 Richmond                86 Western Michigan        70
11/25/2000 East Carolina           54 St. Louis               90
11/25/2000 Wagner                  83 Michigan                98
11/25/2000 Texas Tech              94 Louisiana Lafayette     73
11/25/2000 Georgia Southern        66 High Point              67
11/25/2000 St. Mary's (TX)         55 Texas San Antonio       61
11/25/2000 Lipscomb                63 New Orleans             83
11/25/2000 Louisiana Monroe        59 Arkansas                99
11/25/2000 Georgia                 58 Stanford                71 N San Juan, PR
11/25/2000 Arizona                 69 Purdue                  72 n Indianapolis, IN
11/25/2000 Florida Atlantic        86 Florida International   81
11/25/2000 Charlotte               78 St. Bonaventure         79 n Rochester, NY
11/25/2000 Pacific                 49 Pepperdine              91
11/25/2000 Rhode Island            71 Florida St.             86 N Anchorage, AK
11/25/2000 Eastern Michigan        63 Detroit                 73
11/25/2000 New Mexico St.          77 Washington              81
11/25/2000 Central Florida         79 Duquesne                90 N Honolulu, HI
11/25/2000 Tennessee St.           66 Western Kentucky        90
11/25/2000 San Francisco           54 Appalachian St.         52 N Hilo, HI
11/25/2000 Memphis                 58 Utah                    61 N San Juan, PR
11/25/2000 Cleveland St.           57 Missouri Kansas City    55
11/25/2000 DePaul                  93 Alaska Anchorage        76
11/25/2000 Cornell                 69 Bradley                 72 N East Lansing, MI
11/25/2000 Quinnipiac              93 Howard                  86 n Washington, DC
11/25/2000 Bethune Cookman         75 Florida A&M             72
11/25/2000 Fairleigh Dickinson     74 Buffalo                 68
11/25/2000 Lehigh                  52 Harvard                 73
11/25/2000 NC Asheville            76 Mercer                  60
11/25/2000 Akron                   79 Oakland                 68
11/25/2000 Maine                   72 Troy St.                59
11/25/2000 Guilford                50 Wofford                 68
11/25/2000 Clarion                 58 Youngstown St.          78
11/25/2000 NC Greensboro           71 West Virginia           85
11/25/2000 Centenary               56 Tennessee Martin        69
11/25/2000 Princeton               59 Monmouth (NJ)           70
11/25/2000 Liberty                 69 James Madison           71
11/25/2000 College of Charleston   68 Georgetown              79 N Honolulu, HI
11/25/2000 Kent St.                61 Arizona St.             76
11/25/2000 Creighton               63 Providence              51 N Kansas City, MO
11/25/2000 South Carolina St.      58 South Carolina          72
11/25/2000 Bucknell                48 Rutgers                 78
11/25/2000 Coppin St.              81 Morgan St.              70
11/25/2000 Delaware                65 George Mason            72
11/25/2000 Campbell                47 Wake Forest             86
11/25/2000 Lafayette               71 St. Peter's             76
11/25/2000 Long Beach St.          66 Oregon St.              78 N Hilo, HI
11/25/2000 Furman                  81 Coastal Carolina        67
11/25/2000 Mount St. Mary's        44 Columbia                56
11/25/2000 Charleston Southern     51 North Carolina St.      89
11/25/2000 Mount St. Joseph        65 Morehead St.            73
11/25/2000 Penn St.                73 Kentucky                68
11/25/2000 Morris Brown            56 Alabama St.             54
11/25/2000 IUPUI                   76 Austin Peay             79
11/25/2000 Boston University       76 George Washington       92
11/25/2000 Southern Methodist      92 Lamar                   70
11/25/2000 Louisiana Tech          61 McNeese St.             76
11/25/2000 Vermont                 42 Northwestern            64
11/25/2000 Drake                   74 Mississippi Valley St.  76
11/25/2000 Augustana (IL)          76 Western Illinois        71
11/25/2000 Arkansas Monticello     66 Stephen F. Austin       74
11/25/2000 Norfolk St.             62 LSU                     90
11/25/2000 SW Texas St.            59 Houston                 73
11/25/2000 Tennessee Tech          64 Chattanooga             74
11/25/2000 Jackson St.             56 Arkansas St.            67
11/25/2000 Arkansas Pine Bluff     53 Alabama                110
11/25/2000 Ball St.                80 Southern Illinois       93
11/25/2000 Southwestern            36 Arkansas Little Rock   100
11/25/2000 Chicago St.             46 Illinois St.            88
11/25/2000 Washburn                56 Kansas                  99
11/25/2000 Sam Houston St.         66 South Alabama           70
11/25/2000 Evansville              64 Wisconsin Green Bay     67
11/25/2000 Eastern Washington      61 Michigan St.            83
11/25/2000 Georgia St.             82 Alabama A&M             73
11/25/2000 Cal Santa Barbara       53 Brigham Young           67
11/25/2000 Army                    48 Duke                    91
11/25/2000 Valparaiso              67 Ohio St.                64 N Anchorage, AK
11/25/2000 Colgate                 76 Northern Arizona        89
11/25/2000 Col. Colorado Springs   61 Utah St.                68
11/25/2000 Cal St. Northridge      69 UNLV                    70
11/25/2000 TCU                     99 Minnesota              107 N Honolulu, HI
11/25/2000 Missouri                62 Syracuse                84 N Anchorage, AK
